,Country,Region,Year,Ladder,Log GDP,Social Supp,Life expectancy,Freedom,generosity,Corruption,Violence,Rate Beds,Rate Medical,Rate Nursing,Rate Dentists,poverty_gap,poverty_severity,gini
49,Armenia,Western Asia,2017,4.288,9.402,0.698,66.6,0.614,-0.147,0.865,-0.62077117,,45.457,,5.744,0.0013386673598396,0.00035507441263375744,0.3362183736332038
50,Armenia,Western Asia,2016,4.325,9.333,0.709,66.3,0.611,-0.17,0.921,-0.662263811,,,,,0.0015240254063501,0.0004359498063121717,0.3254794835583838
51,Armenia,Western Asia,2015,4.348,9.334,0.723,66.0,0.551,-0.203,0.901,-0.252332628,,29.619,50.344,3.752,0.0021384608166805,0.0007390906020586209,0.3235677179616023
52,Armenia,Western Asia,2014,4.453,9.307,0.739,65.84,0.506,-0.218,0.92,-0.2971358,41.6,29.153,51.953,3.938,0.0022082802878695,0.0006012406143096371,0.3148329065365821
53,Armenia,Western Asia,2013,4.277,9.277,0.723,65.68,0.504,-0.195,0.9,0.110385142,40.6,28.993,51.94,4.188,0.003448683744441,0.0011482611503476,0.3057966315233129
54,Armenia,Western Asia,2012,4.32,9.249,0.676,65.52,0.502,-0.215,0.893,0.154794976,40.5,28.668,52.34,4.426,0.001569495110771,0.000515085091280193,0.2960226142586567
55,Armenia,Western Asia,2011,4.26,9.182,0.705,65.36,0.465,-0.225,0.875,-0.063868985,37.4,28.163,52.038,4.428,0.0018641891364294,0.00047521590682624297,0.2935294582000863
56,Armenia,Western Asia,2010,4.368,9.136,0.66,65.2,0.459,-0.176,0.891,0.071855329,37.3,27.753,51.169,4.266,0.0015034992930416,0.0004607588469685949,0.2999258234323411
57,Armenia,Western Asia,2009,4.178,9.111,0.68,65.1,0.441,-0.214,0.882,0.227863356,37.2,26.968,50.467,4.2,0.0019708754170471,0.000487946727274388,0.2801587740164225
58,Armenia,Western Asia,2008,4.652,9.256,0.709,65.0,0.462,-0.215,0.876,-0.006853028,38.2,26.735,50.66,4.012,0.0018914561398347,0.0006317202519449917,0.2918814172710552
59,Armenia,Western Asia,2007,4.882,9.181,0.76,64.9,0.605,-0.251,0.817,0.150905833,40.7,26.085,50.19,3.358,0.0028135448648991,0.0009556838534521104,0.3122605825894329
60,Australia,Australia and New Zealand,2018,7.177,10.811,0.94,73.6,0.916,0.146,0.405,0.989603996,,37.473,162.737,6.194,0.0040348110763871,0.0034371118069838,0.3433376217623682
62,Australia,Australia and New Zealand,2016,7.25,10.791,0.942,73.0,0.922,0.239,0.399,1.047958016,38.4,35.771,124.397,5.871,0.0030565407047604,0.0023781182945944,0.3368581038771304
64,Australia,Australia and New Zealand,2014,7.289,10.772,0.924,72.6,0.923,0.319,0.442,1.032191992,37.9,34.499,121.761,5.74,0.0037472620515825,0.003106981666344,0.3439943141661626
68,Australia,Australia and New Zealand,2010,7.45,10.722,0.955,72.2,0.932,0.317,0.366,0.888859868,37.8,33.635,104.657,5.21,0.0029612418470247,0.0025113821803412,0.3465672759564665
69,Australia,Australia and New Zealand,2008,7.254,10.719,0.947,71.88,0.916,0.305,0.431,0.954700112,38.2,30.176,103.035,,0.0030905957700665,0.0026442204984421,0.3542850828048215
71,Austria,Western Europe,2018,7.396,10.928,0.912,73.0,0.904,0.053,0.523,0.902334034,72.7,52.414,71.299,5.686,0.0047442958775766,0.0042882517606575,0.3084879012966293
72,Austria,Western Europe,2017,7.294,10.908,0.906,72.7,0.89,0.133,0.518,1.046832561,73.7,51.828,71.079,5.694,0.0023832063953368,0.0020669797075803,0.2973758498114096
73,Austria,Western Europe,2016,7.048,10.891,0.926,72.4,0.889,0.08,0.524,0.909638762,74.2,51.297,70.27,5.67,0.0055620124682545,0.005101677885714,0.3079707399736262
74,Austria,Western Europe,2015,7.076,10.881,0.928,72.1,0.9,0.099,0.557,1.143079281,75.4,51.25,70.433,5.677,0.005702616981382,0.0052933592774076,0.3053277503507726
75,Austria,Western Europe,2014,6.95,10.882,0.899,71.96,0.885,0.118,0.567,1.270700455,75.8,50.766,70.371,5.725,0.0014766085669522,0.0012149794151402,0.305356827886501
76,Austria,Western Europe,2013,7.499,10.883,0.95,71.82,0.922,0.168,0.679,1.364100575,76.4,50.194,69.361,5.723,0.0023176716995787,0.0018701405547812,0.3075313313570373
77,Austria,Western Europe,2012,7.401,10.889,0.945,71.68,0.92,0.118,0.771,1.340566874,76.7,49.28,68.876,5.691,0.004476794356954,0.0038086842969606,0.3047631780126278
78,Austria,Western Europe,2011,7.471,10.887,0.944,71.54,0.939,0.132,0.703,1.193521619,76.8,48.757,68.571,5.652,0.0031132948595807,0.0026563595787396,0.3080166870334521
79,Austria,Western Europe,2010,7.303,10.861,0.914,71.4,0.896,0.131,0.546,1.152648211,76.5,48.286,67.59,5.602,0.0035423514029277,0.0029071800963275,0.3025226310416289
80,Austria,Western Europe,2008,7.181,10.887,0.935,71.08,0.879,0.291,0.614,1.339270592,76.9,46.282,65.787,5.461,0.0023566349732325,0.0016725853247049,0.3043738581765435
104,Bangladesh,Southern Asia,2016,4.556,8.274,0.649,63.3,0.875,-0.089,0.688,-1.261936784,7.9,4.917,2.61,0.439,0.0242295264603207,0.0068853134649892,0.3238527251961525
110,Bangladesh,Southern Asia,2010,4.858,7.967,0.549,60.7,0.659,-0.016,0.774,-1.425789475,,3.615,1.82,0.292,0.0321392259239486,0.0087018361332859,0.321303193870502
114,Belarus,Central and Eastern Europe,2018,5.234,9.846,0.905,66.1,0.644,-0.174,0.718,0.348057151,,43.859,,6.072,0.0,0.0,0.2524052540652808
115,Belarus,Central and Eastern Europe,2017,5.553,9.814,0.9,65.8,0.621,-0.122,0.654,-0.053483382,,43.303,,,0.0,0.0,0.2544457003919788
116,Belarus,Central and Eastern Europe,2016,5.178,9.788,0.927,65.5,0.658,-0.125,0.664,0.142281473,,42.765,,,0.0,0.0,0.2530661617188906
117,Belarus,Central and Eastern Europe,2015,5.719,9.815,0.924,65.2,0.623,-0.091,0.669,0.110016517,,50.507,107.065,5.764,0.0,0.0,0.2563322626514249
118,Belarus,Central and Eastern Europe,2014,5.812,9.856,0.88,64.62,0.647,-0.048,0.682,0.179782152,108.3,48.766,106.855,5.585,0.0,0.0,0.2717666682882778
119,Belarus,Central and Eastern Europe,2013,5.876,9.839,0.923,64.04,0.723,-0.177,0.653,0.005959166,110.5,47.194,105.537,5.362,0.0,0.0,0.2657505248326819
120,Belarus,Central and Eastern Europe,2012,5.749,9.83,0.902,63.46,0.645,-0.217,0.657,0.06861522,112.7,46.972,106.038,5.358,1.8817853757060636e-05,2.9372425337294407e-06,0.2652619902105469
121,Belarus,Central and Eastern Europe,2011,5.225,9.812,0.91,62.88,0.656,-0.168,0.672,-0.087769009,112.5,46.18,102.852,5.278,1.022526281057252e-06,1.5899727457073056e-08,0.2715255170539886
122,Belarus,Central and Eastern Europe,2010,5.526,9.758,0.918,62.3,0.7,-0.163,0.706,-0.094990097,114.5,,102.755,5.227,1.1113734055161032e-05,3.63892755026741e-07,0.2856659975885773
123,Belarus,Central and Eastern Europe,2009,5.564,9.681,0.908,62.0,0.679,-0.203,0.676,0.489347756,110.7,,101.522,5.311,0.00015349122018413263,5.59788220921902e-05,0.2768930630243374
124,Belarus,Central and Eastern Europe,2008,5.463,9.677,0.904,61.7,0.64,-0.22,0.696,0.521403909,111.2,,100.143,5.226,9.056925778035432e-05,9.364266282141675e-06,0.2782604460351257
125,Belarus,Central and Eastern Europe,2007,5.617,9.576,0.858,61.4,0.667,-0.225,0.695,0.341008782,112.3,,97.46,4.869,0.0003123264397042349,6.371480525807453e-05,0.2961237986760703
126,Belgium,Western Europe,2018,6.892,10.844,0.93,72.0,0.808,-0.125,0.63,0.402350128,56.2,31.237,117.7,7.524,0.000643145980954002,0.0005798064535706161,0.2721441373976798
127,Belgium,Western Europe,2017,6.928,10.834,0.922,71.8,0.857,0.054,0.543,0.428185821,56.6,30.804,119.024,7.48,0.0011730001616062,0.00097335396687574,0.2738796778815082
128,Belgium,Western Europe,2016,6.949,10.819,0.929,71.6,0.866,-0.056,0.497,0.441367298,57.6,30.781,120.179,7.492,0.000561015105655149,0.0005414424704378125,0.2758098191723335
129,Belgium,Western Europe,2015,6.904,10.81,0.885,71.4,0.869,0.062,0.469,0.587094605,58.3,30.245,118.495,7.371,0.0005601998461998879,0.0004665846251170607,0.2772946253185987
130,Belgium,Western Europe,2014,6.855,10.795,0.944,71.28,0.861,0.001,0.512,0.701269448,58.5,29.842,112.36,7.254,0.0005523899213960357,0.0004408282409733744,0.2813414586994207
131,Belgium,Western Europe,2013,7.104,10.784,0.909,71.16,0.891,0.017,0.574,0.940082729,59.3,29.72,109.58,7.174,0.001274205982196,0.0011608610706824,0.2766920123064992
132,Belgium,Western Europe,2012,6.935,10.784,0.927,71.04,0.855,-0.05,0.758,0.92359972,59.9,29.537,106.783,7.133,0.0013591233803565,0.0012642826143347,0.274910949312405
133,Belgium,Western Europe,2011,7.111,10.783,0.937,70.92,0.88,-0.014,0.711,0.954535425,60.5,29.375,104.453,7.099,0.0009193310737469824,0.000716308303219851,0.2806069560163897
134,Belgium,Western Europe,2010,6.854,10.779,0.931,70.8,0.807,0.022,0.697,0.810646176,61.2,29.247,101.495,7.056,0.001034887330219,0.000905884404041242,0.2837519115298118
135,Belgium,Western Europe,2008,7.117,10.789,0.923,70.44,0.887,0.007,0.652,0.620571196,62.5,29.162,98.025,7.144,0.0007745744287720791,0.0006520290557956194,0.2837401139633489
136,Belgium,Western Europe,2007,7.219,10.792,0.922,70.26,0.901,0.069,0.721,0.757325053,62.7,28.974,96.933,7.206,0.0008634067226045252,0.0006992250710079688,0.2923797441243262
139,Benin,Sub-Saharan Africa,2018,5.82,8.059,0.504,54.3,0.713,0.002,0.747,-0.141175643,,0.76,3.739,0.01,0.0480437469609388,0.0169382509413602,0.3794864449758375
142,Benin,Sub-Saharan Africa,2015,3.625,7.988,0.434,53.1,0.733,-0.027,0.85,-0.013513958,,,,,0.2298420446446656,0.1463441960539666,0.4775591412230905
146,Benin,Sub-Saharan Africa,2011,3.87,7.904,0.477,51.98,0.773,-0.142,0.849,0.318356365,,0.561,4.131,,0.197792209542027,0.0935233318975741,0.4343970705610367
151,Bolivia,Latin America and Caribbean,2018,5.916,9.066,0.827,63.6,0.863,-0.093,0.786,-0.287118524,,,,,0.0131158429982557,0.0074337186910333,0.4257975824904345
152,Bolivia,Latin America and Caribbean,2017,5.651,9.039,0.779,63.3,0.884,-0.12,0.819,-0.278028756,12.9,10.081,15.259,1.761,0.0206709478549278,0.0113406611381257,0.4461895100115239
153,Bolivia,Latin America and Caribbean,2016,5.77,9.012,0.796,63.0,0.882,-0.047,0.853,-0.248866364,12.7,15.575,10.949,2.156,0.0256503534239473,0.0152854645159076,0.4524400286965878
154,Bolivia,Latin America and Caribbean,2015,5.834,8.985,0.829,62.7,0.884,-0.03,0.862,-0.268487215,11.3,,11.677,,0.0206887928924373,0.0128903571509498,0.4673249414706999
155,Bolivia,Latin America and Caribbean,2014,5.865,8.953,0.821,62.36,0.881,0.018,0.832,-0.333112091,11.5,,,,0.0186383162520021,0.0102257746370953,0.4783065661882283
156,Bolivia,Latin America and Caribbean,2013,5.767,8.915,0.803,62.02,0.846,-0.067,0.812,-0.328593433,11.2,,,,0.0227766344989946,0.0134231606468525,0.475890330739119
157,Bolivia,Latin America and Caribbean,2012,6.019,8.865,0.781,61.68,0.862,-0.015,0.84,-0.458068103,11.0,,,,0.0302487995643228,0.0185338832716708,0.4658192784957143
158,Bolivia,Latin America and Caribbean,2011,5.779,8.831,0.817,61.34,0.782,-0.039,0.825,-0.417126507,10.7,4.589,9.753,1.087,0.0219684991041603,0.0123529982921131,0.4608095144896355
160,Bolivia,Latin America and Caribbean,2009,6.086,8.773,0.831,60.5,0.779,-0.036,0.763,-0.506110489,,,,,0.0376821650539768,0.0216824807356391,0.4922296266832039
161,Bolivia,Latin America and Caribbean,2008,5.298,8.756,0.785,60.0,0.726,-0.092,0.801,-0.696565807,,,,,0.0379464876295417,0.0225348057681523,0.508160807354603
162,Bolivia,Latin America and Caribbean,2007,5.628,8.714,0.796,59.5,0.78,0.001,0.817,-0.852070689,,3.264,5.988,0.616,0.0459033521337374,0.0284255695262077,0.5453706872224717
170,Bosnia and Herz.,Southern Europe,2011,4.995,9.333,0.725,66.74,0.333,-0.035,0.925,-0.819794893,34.6,18.383,54.858,2.159,0.00022122084786077223,8.470874971780727e-05,0.3303018586994583
173,Bosnia and Herz.,Southern Europe,2007,4.9,9.267,0.766,66.04,0.342,0.006,0.926,-0.631416619,33.9,15.425,47.149,1.866,0.0002146598556207548,8.974334385879257e-05,0.3306158652666363
177,Botswana,Sub-Saharan Africa,2015,3.762,9.724,0.816,56.8,0.857,-0.116,0.86,1.042091846,,,,,0.0412335395670782,0.0165280795644646,0.5332502673276546
184,Brazil,Latin America and Caribbean,2018,6.191,9.589,0.882,66.4,0.751,-0.117,0.763,-0.440423459,,,100.854,6.379,0.0200686583410933,0.0108872851731591,0.5387094736890694
185,Brazil,Latin America and Caribbean,2017,6.333,9.583,0.905,66.2,0.765,-0.175,0.794,-0.473864615,20.9,21.583,97.056,12.414,0.0200423352537479,0.0108905637133965,0.5333405003578899
186,Brazil,Latin America and Caribbean,2016,6.375,9.578,0.912,66.0,0.807,-0.1,0.781,-0.377205431,21.1,,93.195,,0.0174777932686586,0.0095299018898266,0.5334284483239768
187,Brazil,Latin America and Caribbean,2015,6.547,9.62,0.907,65.8,0.799,-0.016,0.771,-0.331458092,21.5,,90.763,,0.0134292156623949,0.0072079208894133,0.5193082873055708
188,Brazil,Latin America and Caribbean,2014,6.981,9.664,0.898,65.54,0.714,-0.115,0.71,-0.070290133,22.2,,87.579,,0.011230914034275,0.0059783586401515,0.520331403149989
189,Brazil,Latin America and Caribbean,2013,7.14,9.668,0.91,65.28,0.785,-0.095,0.707,-0.258553296,22.5,18.756,75.378,,0.0129036313751484,0.0067784989116584,0.5268654026021167
190,Brazil,Latin America and Caribbean,2012,6.66,9.647,0.89,65.02,0.849,0.123,0.623,0.045961641,22.7,,,,0.0168687142177834,0.0092324694207724,0.5343985273622276
191,Brazil,Latin America and Caribbean,2011,7.038,9.637,0.916,64.76,0.834,-0.072,0.662,-0.132575423,23.1,18.429,,,0.0219761251923791,0.0127952007962868,0.5294759256736237
193,Brazil,Latin America and Caribbean,2009,7.001,9.544,0.913,64.26,0.767,-0.055,0.723,0.163664222,24.3,,,11.896,0.0240283732493722,0.0136735301093106,0.5368723364252355
194,Brazil,Latin America and Caribbean,2008,6.691,9.555,0.878,64.02,0.782,-0.078,0.688,-0.313424706,24.4,,,11.789,0.0248230489622659,0.014148717794525,0.5404328002326653
195,Brazil,Latin America and Caribbean,2007,6.321,9.515,0.886,63.78,0.777,-0.016,0.728,-0.357948095,24.7,,,11.523,0.0315415007996608,0.0187077480363074,0.549277443332388
196,Bulgaria,Central and Eastern Europe,2018,5.099,10.007,0.924,66.8,0.724,-0.176,0.952,0.456277937,,41.682,47.411,10.172,0.002513201887604,0.0010162145918546,0.4128409897525427
197,Bulgaria,Central and Eastern Europe,2017,5.097,9.969,0.942,66.6,0.689,-0.154,0.911,0.332049906,74.5,,43.1,,0.0045896769733916,0.0021916949926558,0.4037904682486896
198,Bulgaria,Central and Eastern Europe,2016,4.838,9.928,0.926,66.4,0.7,-0.17,0.936,0.077333264,72.7,,42.752,,0.0075939935678089,0.004185969627306,0.4059106371074086
199,Bulgaria,Central and Eastern Europe,2015,4.865,9.883,0.908,66.2,0.637,-0.2,0.941,0.017322188,72.4,39.727,47.434,10.325,0.0145417357915349,0.0087991807429046,0.3856734715099758
200,Bulgaria,Central and Eastern Europe,2014,4.438,9.838,0.886,66.1,0.576,-0.055,0.955,0.078540899,71.3,39.068,47.72,9.569,0.0054418375938374,0.0035405126723413,0.3741856838867722
201,Bulgaria,Central and Eastern Europe,2013,3.993,9.813,0.829,66.0,0.603,-0.191,0.962,0.170710385,68.2,38.878,48.082,9.814,0.0075770415826897,0.0045810575309342,0.3657364537318636
202,Bulgaria,Central and Eastern Europe,2012,4.222,9.804,0.838,65.9,0.641,-0.172,0.938,0.379833996,66.1,38.192,47.207,9.014,0.008373338461215,0.0047016421205485,0.360139230505351
203,Bulgaria,Central and Eastern Europe,2011,3.875,9.795,0.86,65.8,0.664,-0.228,0.948,0.301750302,64.5,37.629,46.24,8.858,0.0099623886218585,0.0058401226137508,0.3427860770854689
204,Bulgaria,Central and Eastern Europe,2010,3.912,9.765,0.843,65.7,0.545,-0.144,0.941,0.36009106,66.2,36.831,46.143,8.415,0.0068420377498105,0.003114169384983,0.3565357214346186
205,Bulgaria,Central and Eastern Europe,2007,3.844,9.715,0.832,65.1,0.566,-0.138,0.976,0.357635468,64.6,36.121,46.178,8.37,0.0013214938508172,0.0006274981701614653,0.2813634140559076
206,Bulgaria,Central and Eastern Europe,2007,3.844,9.715,0.832,65.1,0.566,-0.138,0.976,0.357635468,64.6,36.121,46.178,8.37,0.0067455821254091,0.0039119662781513,0.3609599122596473
207,Burkina Faso,Sub-Saharan Africa,2018,4.927,7.665,0.665,53.9,0.721,-0.013,0.757,-1.059286594,,0.826,,0.045,0.0841327007235656,0.0318863536926263,0.430167316371986
211,Burkina Faso,Sub-Saharan Africa,2014,3.481,7.559,0.742,51.86,0.71,-0.004,0.801,-0.787128568,,0.472,4.459,,0.0951010354667892,0.0322166814794908,0.3530122754546736
239,Cameroon,Sub-Saharan Africa,2014,4.24,8.12,0.778,49.9,0.795,-0.071,0.856,-1.059252381,,,,,0.0831694724209047,0.0375277738404088,0.4664087375714326
246,Cameroon,Sub-Saharan Africa,2007,4.35,8.028,0.717,46.56,0.644,-0.031,0.91,-0.326108962,,0.723,4.507,0.021,0.0927668318025411,0.0364029370951118,0.4282006291689512
247,Canada,North America and ANZ,2018,7.175,10.798,0.923,73.6,0.946,0.106,0.372,0.979125917,25.5,24.277,99.98,6.62,0.0006295387275827826,0.0001585459262134787,0.3250926986679282
248,Canada,North America and ANZ,2017,7.415,10.792,0.934,73.4,0.945,0.163,0.362,1.102062702,25.3,,99.975,6.388,0.0009152579853694164,0.0003391340373475748,0.3330820627166964
249,Canada,North America and ANZ,2016,7.245,10.773,0.924,73.2,0.912,0.211,0.385,1.256058574,26.0,,99.934,6.385,0.0011599942020219,0.0005410183306146532,0.3270182369108442
250,Canada,North America and ANZ,2015,7.413,10.774,0.939,73.0,0.931,0.253,0.427,1.274697781,26.2,,98.997,6.284,0.0012285151805657,0.0006137543688253567,0.3374648246255683
251,Canada,North America and ANZ,2014,7.304,10.775,0.918,72.84,0.939,0.27,0.442,1.17550385,26.7,,98.19,6.194,0.0010219487447024,0.0004312799989990928,0.3315760596610752
252,Canada,North America and ANZ,2013,7.594,10.757,0.936,72.68,0.916,0.316,0.406,1.061421752,27.2,,95.418,6.14,0.001477962509363,0.0007452098343960908,0.3379898215764887
253,Canada,North America and ANZ,2012,7.415,10.744,0.948,72.52,0.918,0.29,0.466,1.113016248,27.9,,,6.08,0.0009169794918515298,0.0003410865569349253,0.3353901078489351
254,Canada,North America and ANZ,2011,7.426,10.738,0.922,72.36,0.951,0.253,0.433,1.077175736,28.0,,,6.0,0.000834279634676314,0.00030777655948958346,0.3265707733747394
255,Canada,North America and ANZ,2010,7.65,10.717,0.954,72.2,0.934,0.23,0.413,0.936318219,27.8,,,5.83,0.0011041714497794,0.0004899689226759229,0.3359260336243562
256,Canada,North America and ANZ,2009,7.488,10.697,0.943,72.02,0.915,0.246,0.413,1.127075911,28.0,,,5.755,0.0014614397587098,0.0008742207404989857,0.3395215294721172
257,Canada,North America and ANZ,2008,7.486,10.738,0.939,71.84,0.926,0.262,0.37,1.041372657,28.5,,,5.722,0.001103333773025,0.0004959399034208056,0.3393056730290607
258,Canada,North America and ANZ,2007,7.482,10.739,0.798,71.66,0.93,0.249,0.406,1.007010698,29.6,,,5.682,0.0009208184640148416,0.0003415502012072983,0.3384100789572702
264,Chad,Sub-Saharan Africa,2018,4.486,7.363,0.577,48.2,0.65,0.024,0.763,-1.483272433,,0.515,3.075,0.002,0.0841659046517388,0.0325532304998478,0.3749915445789923
271,Chad,Sub-Saharan Africa,2011,4.393,7.425,0.819,45.42,0.54,0.031,0.876,-1.318085194,,,,,0.1431743555097942,0.0754255110547143,0.4332121171502933
277,Chile,Latin America and Caribbean,2017,6.32,10.072,0.88,69.8,0.79,-0.02,0.836,0.417135537,21.1,24.546,122.045,11.922,0.0018426874909166,0.0014325817554237,0.444410283514897
279,Chile,Latin America and Caribbean,2015,6.533,10.07,0.827,69.6,0.769,0.041,0.812,0.433439225,21.4,21.589,110.386,10.098,0.0017610384614891,0.0012402755898465,0.4437132767263289
281,Chile,Latin America and Caribbean,2013,6.74,10.053,0.862,69.32,0.737,0.085,0.741,0.36374253,21.7,18.872,21.737,8.217,0.0019983460876289,0.0012996699162466,0.4583110610507278
283,Chile,Latin America and Caribbean,2011,6.526,9.98,0.819,69.04,0.701,0.112,0.753,0.452553362,22.2,15.91,15.428,5.96,0.0031376417909687,0.0018458200536281,0.4604834972301036
285,Chile,Latin America and Caribbean,2009,6.494,9.885,0.832,68.84,0.747,0.149,0.734,0.602584422,22.7,10.326,,0.009,0.0064342539805232,0.0038694729707648,0.4699121899672137
288,China,East Asia,2018,5.131,9.632,0.788,69.3,0.895,-0.159,0.824,-0.300023288,,21.244,28.923,,0.0009332166987240444,0.0004181416378327244,0.3849764207303383
289,China,East Asia,2018,5.131,9.632,0.788,69.3,0.895,-0.159,0.824,-0.300023288,,21.244,28.923,,0.0019332494353253,0.0008692113050365879,0.3354156467179983
290,China,East Asia,2018,5.131,9.632,0.788,69.3,0.895,-0.159,0.824,-0.300023288,,21.244,28.923,,0.0002426341782886393,0.00010665100730770928,0.3690613270610632
291,China,East Asia,2017,5.099,9.571,0.772,69.0,0.878,-0.175,0.856,-0.231018081,43.1,20.06,26.974,4.517,0.0013723671339024,0.0005673743694218668,0.3907577594587954
292,China,East Asia,2017,5.099,9.571,0.772,69.0,0.878,-0.175,0.856,-0.231018081,43.1,20.06,26.974,4.517,0.0025710411453726,0.0010033539342726,0.3425598634803612
293,China,East Asia,2017,5.099,9.571,0.772,69.0,0.878,-0.175,0.856,-0.231018081,43.1,20.06,26.974,4.517,0.0005029355355207427,0.0002511462654479768,0.3694192983317738
294,China,East Asia,2016,5.325,9.51,0.742,68.7,0.557,-0.228,0.807,-0.499395043,40.2,18.913,25.017,,0.0016644431956639,0.0006750813696988465,0.3848051863389712
295,China,East Asia,2016,5.325,9.51,0.742,68.7,0.557,-0.228,0.807,-0.499395043,40.2,18.913,25.017,,0.0030208732469447,0.001119592721925,0.3317983763271285
296,China,East Asia,2016,5.325,9.51,0.742,68.7,0.557,-0.228,0.807,-0.499395043,40.2,18.913,25.017,,0.0006300983386503816,0.0003361195259788952,0.3612482555073504
297,China,East Asia,2015,5.304,9.449,0.794,68.4,0.48,-0.244,0.913,-0.550294638,37.9,17.998,23.258,,0.0022889364113793,0.0009323249094678604,0.3859530243454562
298,China,East Asia,2015,5.304,9.449,0.794,68.4,0.48,-0.244,0.913,-0.550294638,37.9,17.998,23.258,,0.0035961294580127,0.0011899524960483,0.3324280730657214
299,China,East Asia,2015,5.304,9.449,0.794,68.4,0.48,-0.244,0.913,-0.550294638,37.9,17.998,23.258,,0.0012408266712858,0.0007257586463537413,0.3615622340427199
300,China,East Asia,2014,5.196,9.386,0.82,68.24,0.556,-0.217,0.814,-0.522584021,35.5,17.145,21.688,,0.0042413209056496,0.0016915376657596,0.3917765226095059
